Departure,Departure Date,Arrival,Arrival Date,Flight Number,Price,Taxes
MAD,2024/03/11 14:00,AUH,2024/03/11 23:40,UX2703,701.13,161.07
AUH,2024/03/18 07:30,MAD,2024/03/18 12:30,UX2702,701.13,164.06
MAD,2024/03/11 14:00,AUH,2024/03/11 23:40,UX2703,2545.13,161.07
AUH,2024/03/18 07:30,MAD,2024/03/18 12:30,UX2702,2545.13,198.06
MAD,2024/03/11 14:00,AUH,2024/03/11 23:40,UX2703,2562.13,195.07
AUH,2024/03/18 07:30,MAD,2024/03/18 12:30,UX2702,2562.13,164.06
MAD,2024/03/11 14:00,AUH,2024/03/11 23:40,UX2703,4406.13,195.07
AUH,2024/03/18 07:30,MAD,2024/03/18 12:30,UX2702,4406.13,198.06
