Price,Taxes,Departure,Departure Date,Arrival,Arrival Date,Flight Number
701.13,161.07,MAD,2024/03/13 14:00,AUH,2024/03/13 23:40,UX2703
701.13,164.06,AUH,2024/03/22 07:30,MAD,2024/03/22 12:30,UX2702
2545.13,195.07,MAD,2024/03/13 14:00,AUH,2024/03/13 23:40,UX2703
2545.13,164.06,AUH,2024/03/22 07:30,MAD,2024/03/22 12:30,UX2702
2562.13,161.07,MAD,2024/03/13 14:00,AUH,2024/03/13 23:40,UX2703
2562.13,198.06,AUH,2024/03/22 07:30,MAD,2024/03/22 12:30,UX2702
4406.13,195.07,MAD,2024/03/13 14:00,AUH,2024/03/13 23:40,UX2703
4406.13,198.06,AUH,2024/03/22 07:30,MAD,2024/03/22 12:30,UX2702
